Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Remove Parameter,get_serializer,get_serializer,lib/alignments.py/Alignments,53.0,64.0,['The parameters [ self ] of the method get_serializer from the module lib/alignments.py in class Alignments is/are removed'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Add Parameter,__init__,__init__,lib/gpu_stats.py/GPUStats,16.0,17.0,['The parameters [ log ] are added to the method __init__ from the module lib/gpu_stats.py in class GPUStats'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Add Parameter,get_driver,get_driver,lib/gpu_stats.py/GPUStats,82.0,98.0,['The parameters [ self ] are added to the method get_driver from the module lib/gpu_stats.py in class GPUStats'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Remove Parameter,get_image_paths,get_image_paths,lib/utils.py,30.0,39.0,['The parameters [ exclude debug ] of the method get_image_paths from the module lib/utils.py is/are removed'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Remove Parameter,set_system_verbosity,set_system_verbosity,lib/utils.py,64.0,75.0,['The parameters [ loglevel ] of the method set_system_verbosity from the module lib/utils.py is/are removed'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Remove Parameter,get_vram_free,get_vram_free,plugins/extract/align/_base.py/Aligner,83.0,117.0,['The parameters [ self ] of the method get_vram_free from the module plugins/extract/align/_base.py in class Aligner is/are removed'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Remove Parameter,__init__,__init__,plugins/extract/align/fan.py/FAN,210.0,216.0,['The parameters [ verbose ] of the method __init__ from the module plugins/extract/align/fan.py in class FAN is/are removed'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Remove Parameter,get_vram_free,get_vram_free,plugins/extract/detect/_base.py/Detector,215.0,293.0,['The parameters [ self ] of the method get_vram_free from the module plugins/extract/detect/_base.py in class Detector is/are removed'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Add Parameter,rotate_image,rotate_image,plugins/extract/detect/_base.py/Detector,164.0,201.0,['The parameters [ self ] are added to the method rotate_image from the module plugins/extract/detect/_base.py in class Detector'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Add Parameter,compile_reprocess,compile_reprocess,plugins/extract/detect/dlib_cnn.py/Detect,175.0,185.0,['The parameters [ self ] are added to the method compile_reprocess from the module plugins/extract/detect/dlib_cnn.py in class Detect'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Remove Parameter,compiled_for_cuda,compiled_for_cuda,plugins/extract/detect/dlib_cnn.py/Detect,19.0,18.0,['The parameters [ self ] of the method compiled_for_cuda from the module plugins/extract/detect/dlib_cnn.py in class Detect is/are removed'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Remove Parameter,__init__,__init__,scripts/convert.py/Legacy,318.0,317.0,['The parameters [ verbose ] of the method __init__ from the module scripts/convert.py in class Legacy is/are removed'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Add Parameter,align_face,align_face,scripts/extract.py/Extract,190.0,219.0,['The parameters [ self filename ] are added to the method align_face from the module scripts/extract.py in class Extract'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Add Parameter,process_faces,process_faces,scripts/extract.py/Extract,209.0,238.0,['The parameters [ save_queue ] are added to the method process_faces from the module scripts/extract.py in class Extract'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Remove Parameter,set_verbosity,set_verbosity,scripts/fsmedia.py/Utils,26.0,28.0,['The parameters [ verbose ] of the method set_verbosity from the module scripts/fsmedia.py in class Utils is/are removed'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Remove Parameter,get_items,get_items,tools/lib_alignments/jobs.py/Check,42.0,45.0,['The parameters [ arguments ] of the method get_items from the module tools/lib_alignments/jobs.py in class Check is/are removed'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Remove Parameter,get_faces,get_faces,tools/lib_alignments/jobs.py/Sort,603.0,581.0,['The parameters [ self ] of the method get_faces from the module tools/lib_alignments/jobs.py in class Sort is/are removed'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Change/Rename Parameter,__init__,__init__,tools/lib_alignments/jobs_manual.py/MouseHandler,696.0,698.0,['The parameters [ verbose ] of the method __init__ from the module tools/lib_alignments/jobs_manual.py in class MouseHandler are changed/renamed to [loglevel]'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Remove Parameter,__init__,__init__,tools/lib_alignments/media.py/AlignmentData,17.0,20.0,['The parameters [ verbose ] of the method __init__ from the module tools/lib_alignments/media.py in class AlignmentData is/are removed'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Remove Parameter,check_file_exists,check_file_exists,tools/lib_alignments/media.py/AlignmentData,28.0,30.0,['The parameters [ verbose ] of the method check_file_exists from the module tools/lib_alignments/media.py in class AlignmentData is/are removed'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Remove Parameter,set_dfl,set_dfl,tools/lib_alignments/media.py/AlignmentData,44.0,45.0,['The parameters [ verbose ] of the method set_dfl from the module tools/lib_alignments/media.py in class AlignmentData is/are removed'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Remove Parameter,__init__,__init__,tools/lib_alignments/media.py/MediaLoader,85.0,83.0,['The parameters [ verbose ] of the method __init__ from the module tools/lib_alignments/media.py in class MediaLoader is/are removed'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Remove Parameter,__init__,__init__,tools/lib_alignments/media.py/Faces,148.0,143.0,['The parameters [ verbose ] of the method __init__ from the module tools/lib_alignments/media.py in class Faces is/are removed'],7f5391145318ebe8012818eb810070e76be7e3b7,,,,,,,
Move Method,rotate_image_by_angle,rotate_image_by_angle,,,, method rotate_image_by_angle from the module lib/utils.py was moved to class Detector of module plugins/extract/detect/_base.py ,7f5391145318ebe8012818eb810070e76be7e3b7,,,,lib/utils.py,plugins/extract/detect/_base.py/Detector,101.0,215.0
Add Parameter,count_frames,count_frames,lib/image.py,265.0,265.0,['The parameters [ fast ] are added to the method count_frames from the module lib/image.py'],8085b4a80bc406f32d4d960a77de4c643a716946,,,,,,,
Add Parameter,load_extractor,load_extractor,scripts/fsmedia.py/Faces,168.0,171.0,['The parameters [ extractor_name ] are added to the method load_extractor from the module scripts/fsmedia.py in class Faces'],80cde77a6de03aaef6bd5e6e4691341f04290227,,,,,,,
Add Parameter,ask_folder,ask_folder,scripts/gui.py/OptionControl,651.0,665.0,['The parameters [ filetypes ] are added to the method ask_folder from the module scripts/gui.py in class OptionControl'],80cde77a6de03aaef6bd5e6e4691341f04290227,,,,,,,
Add Parameter,ask_load,ask_load,scripts/gui.py/OptionControl,658.0,678.0,['The parameters [ filetypes ] are added to the method ask_load from the module scripts/gui.py in class OptionControl'],80cde77a6de03aaef6bd5e6e4691341f04290227,,,,,,,
Change Return Type,_get_log_filenames,_get_log_filenames,lib/gui/analysis/event_reader.py/_LogFiles,39.0,64.0,['The return type of method _get_log_filenames from the module lib/gui/analysis/event_reader.py in class _LogFiles is updated'],80f63280ca40978a85e98a9422e30e54ce5355e1,,,,,,,
Change Return Type,_get_session_id,_get_session_id,lib/gui/analysis/event_reader.py/_LogFiles,60.0,85.0,['The return type of method _get_session_id from the module lib/gui/analysis/event_reader.py in class _LogFiles is updated'],80f63280ca40978a85e98a9422e30e54ce5355e1,,,,,,,
Change Return Type,session_ids,session_ids,lib/gui/analysis/event_reader.py/_LogFiles,34.0,59.0,['The return type of method session_ids from the module lib/gui/analysis/event_reader.py in class _LogFiles is updated'],80f63280ca40978a85e98a9422e30e54ce5355e1,,,,,,,
Change Return Type,_to_numpy,_to_numpy,lib/gui/analysis/event_reader.py/_Cache,183.0,281.0,['The return type of method _to_numpy from the module lib/gui/analysis/event_reader.py in class _Cache is updated'],80f63280ca40978a85e98a9422e30e54ce5355e1,,,,,,,
Change Return Type,get_data,get_data,lib/gui/analysis/event_reader.py/_Cache,339.0,422.0,['The return type of method get_data from the module lib/gui/analysis/event_reader.py in class _Cache is updated'],80f63280ca40978a85e98a9422e30e54ce5355e1,,,,,,,
Change Return Type,get_loss,get_loss,lib/gui/analysis/event_reader.py/TensorBoardLogs,480.0,561.0,['The return type of method get_loss from the module lib/gui/analysis/event_reader.py in class TensorBoardLogs is updated'],80f63280ca40978a85e98a9422e30e54ce5355e1,,,,,,,
Change Return Type,get_timestamps,get_timestamps,lib/gui/analysis/event_reader.py/TensorBoardLogs,508.0,592.0,['The return type of method get_timestamps from the module lib/gui/analysis/event_reader.py in class TensorBoardLogs is updated'],80f63280ca40978a85e98a9422e30e54ce5355e1,,,,,,,
Change Return Type,session_ids,session_ids,lib/gui/analysis/event_reader.py/TensorBoardLogs,411.0,491.0,['The return type of method session_ids from the module lib/gui/analysis/event_reader.py in class TensorBoardLogs is updated'],80f63280ca40978a85e98a9422e30e54ce5355e1,,,,,,,
Change Return Type,_get_latest_live,_get_latest_live,lib/gui/analysis/event_reader.py/_EventParser,561.0,647.0,['The return type of method _get_latest_live from the module lib/gui/analysis/event_reader.py in class _EventParser is updated'],80f63280ca40978a85e98a9422e30e54ce5355e1,,,,,,,
Change Return Type,get_timestamps,get_timestamps,lib/gui/analysis/stats.py/GlobalSession,199.0,211.0,['The return type of method get_timestamps from the module lib/gui/analysis/stats.py in class GlobalSession is updated'],80f63280ca40978a85e98a9422e30e54ce5355e1,,,,,,,
Add Parameter,__init__,__init__,lib/training_data.py/TrainingDataGenerator,9.0,9.0,['The parameters [ scale zoom ] are added to the method __init__ from the module lib/training_data.py in class TrainingDataGenerator'],810bd0bce7e63c3bbcb4e3ba3cd3804287f55795,,,,,,,
Add Parameter,random_warp,random_warp,lib/training_data.py/TrainingDataGenerator,64.0,66.0,['The parameters [ scale zoom ] are added to the method random_warp from the module lib/training_data.py in class TrainingDataGenerator'],810bd0bce7e63c3bbcb4e3ba3cd3804287f55795,,,,,,,
Add Parameter,patch_image,patch_image,plugins/Convert_Adjust.py/Convert,15.0,15.0,['The parameters [ size ] are added to the method patch_image from the module plugins/Convert_Adjust.py in class Convert'],810bd0bce7e63c3bbcb4e3ba3cd3804287f55795,,,,,,,
Add Parameter,__init__,__init__,plugins/Convert_Masked.py/Convert,9.0,9.0,['The parameters [ trainer match_histogram ] are added to the method __init__ from the module plugins/Convert_Masked.py in class Convert'],810bd0bce7e63c3bbcb4e3ba3cd3804287f55795,,,,,,,
Add Parameter,patch_image,patch_image,plugins/Convert_Masked.py/Convert,22.0,24.0,['The parameters [ size ] are added to the method patch_image from the module plugins/Convert_Masked.py in class Convert'],810bd0bce7e63c3bbcb4e3ba3cd3804287f55795,,,,,,,
Add Parameter,Discriminator,Discriminator,plugins/Model_GAN/Model.py/GANModel,148.0,131.0,['The parameters [ input_size ] are added to the method Discriminator from the module plugins/Model_GAN/Model.py in class GANModel'],810bd0bce7e63c3bbcb4e3ba3cd3804287f55795,,,,,,,
Add Parameter,Encoder,Encoder,plugins/Model_GAN/Model.py/GANModel,98.0,82.0,['The parameters [ input_size ] are added to the method Encoder from the module plugins/Model_GAN/Model.py in class GANModel'],810bd0bce7e63c3bbcb4e3ba3cd3804287f55795,,,,,,,
Change/Rename Parameter,upscale_ps,upscale_ps,plugins/Model_GAN/Model.py/GANModel,89.0,74.0,['The parameters [ use_norm ] of the method upscale_ps from the module plugins/Model_GAN/Model.py in class GANModel are changed/renamed to [use_instance_norm]'],810bd0bce7e63c3bbcb4e3ba3cd3804287f55795,,,,,,,
Add Parameter,__init__,__init__,plugins/Model_GAN/Trainer.py/GANTrainingDataGenerator,8.0,14.0,['The parameters [ scale zoom ] are added to the method __init__ from the module plugins/Model_GAN/Trainer.py in class GANTrainingDataGenerator'],810bd0bce7e63c3bbcb4e3ba3cd3804287f55795,,,,,,,
Add Parameter,__init__,__init__,plugins/Model_GAN/Trainer.py/Trainer,22.0,28.0,['The parameters [ perceptual_loss ] are added to the method __init__ from the module plugins/Model_GAN/Trainer.py in class Trainer'],810bd0bce7e63c3bbcb4e3ba3cd3804287f55795,,,,,,,
