Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Add Parameter,maybe_download,maybe_download,texar/data/data_utils.py,42.0,43.0,['The parameters [ filenames ] are added to the method maybe_download from the module texar/data/data_utils.py'],1fa0bb3b8a8f1dbf75c24415631011d3e2fcec25,,,,,,,
Extract Method,maybe_download,_download,texar/data/data_utils.py,,, The method _download from the module texar/data/data_utils.py is extracted from method maybe_download from the module texar/data/data_utils.py ,1fa0bb3b8a8f1dbf75c24415631011d3e2fcec25,"(42,43)",103.0,"[69.0, 70.0, 72.0, 74.0, 75.0, 76.0, 77.0, 78.0]",,,,
Rename Method,_maybe_list_to_string,_maybe_list_to_str,texar/evals/bleu.py,28.0,28.0,['The method _maybe_list_to_string from the module texar/evals/bleu.py is renamed to _maybe_list_to_str'],1ff27af53151dec9524d7a52d4846db4387a916c,,,,,,,
Rename Method,default_string,default_str,texar/utils/utils.py,356.0,447.0,['The method default_string from the module texar/utils/utils.py is renamed to default_str'],1ff27af53151dec9524d7a52d4846db4387a916c,,,,,,,
Rename Class,HierarchicalForwardRNNEncoder,HierarchicalEncoder,txtgen/modules/encoders/hierarchical_encoders.py,,, class HierarchicalForwardRNNEncoder was renamed to class HierarchicalEncoder ,20596a513d2d9e99a954afe25ddf92988ab36f71,,,,,,,
Rename Method,generate,_generate,examples/vae_text/vae_train.py,258.0,274.0,['The method generate from the module examples/vae_text/vae_train.py is renamed to _generate'],216302c9aa22f27f29a9365016126a2f82ed8eb1,,,,,,,
Rename Method,eval,evaluate,examples/eval.py,20.0,20.0,['The method eval from the module examples/eval.py is renamed to evaluate'],226214dcccb7ccc160943291d582cd70a5fe884c,,,,,,,
Remove Parameter,sinusoid_positional_encoding,sinusoid_positional_encoding,texar/core/layers.py,910.0,909.0,['The parameters [ scope ] of the method sinusoid_positional_encoding from the module texar/core/layers.py is/are removed'],226214dcccb7ccc160943291d582cd70a5fe884c,,,,,,,
Remove Parameter,next_inputs,next_inputs,texar/tf/modules/decoders/rnn_decoder_helpers.py/SoftmaxEmbeddingHelper,384.0,384.0,['The parameters [ reach_max_time ] of the method next_inputs from the module texar/tf/modules/decoders/rnn_decoder_helpers.py in class SoftmaxEmbeddingHelper is/are removed'],2307d99d0141d9d2d2e99a67aaae04fdae42f71e,,,,,,,
Change/Rename Parameter,get_batches,get_batches,examples/tsf/utils.py,51.0,51.0,['The parameters [ shuffle ] of the method get_batches from the module examples/tsf/utils.py are changed/renamed to [sort]'],2546dbadb426502d169aed5beb5933255b6f2208,,,,,,,
