Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Rename Method,get_file_writer,_get_file_writer,tensorboardX/writer.py/SummaryWriter,267.0,294.0,['The method get_file_writer from the module tensorboardX/writer.py in class SummaryWriter is renamed to _get_file_writer'],bf8c6795779fbf225a6bbfefb5a53f9191e7440e,,,,,,,
Add Parameter,_write_image,_write_image,tensorboardX/beholder/video_writing.py/PNGVideoOutput,125.0,125.0,['The parameters [ self ] are added to the method _write_image from the module tensorboardX/beholder/video_writing.py in class PNGVideoOutput'],ce0a5bce3555e574b36ef16e4cde1b15d7f96ffc,,,,,,,
Rename Method,add_graph,add_graph_deprecated,tensorboardX/writer.py/SummaryWriter,783.0,796.0,['The method add_graph from the module tensorboardX/writer.py in class SummaryWriter is renamed to add_graph_deprecated'],d7238f5b1a3073a621ddf347ee1f865531d47e6c,,,,,,,
Change/Rename Parameter,add_onnx_graph,add_onnx_graph,tensorboardX/writer.py/SummaryWriter,754.0,754.0,['The parameters [ prototxt ] of the method add_onnx_graph from the module tensorboardX/writer.py in class SummaryWriter are changed/renamed to [onnx_model_file]'],d8c3aa7c7f53545ba4aef762d63c791d1491932c,,,,,,,
Add Parameter,__init__,__init__,tensorboardX/event_file_writer.py/EventsWriter,43.0,43.0,['The parameters [ filename_suffix ] are added to the method __init__ from the module tensorboardX/event_file_writer.py in class EventsWriter'],d905caf91da3bebe401f3f121e0cda274b3dd66a,,,,,,,
Add Parameter,__init__,__init__,tensorboardX/event_file_writer.py/EventFileWriter,100.0,101.0,['The parameters [ filename_suffix ] are added to the method __init__ from the module tensorboardX/event_file_writer.py in class EventFileWriter'],d905caf91da3bebe401f3f121e0cda274b3dd66a,,,,,,,
Add Parameter,__init__,__init__,tensorboardX/writer.py/FileWriter,161.0,161.0,['The parameters [ filename_suffix ] are added to the method __init__ from the module tensorboardX/writer.py in class FileWriter'],d905caf91da3bebe401f3f121e0cda274b3dd66a,,,,,,,
Add Parameter,image,image,tensorboardX/summary.py,146.0,173.0,['The parameters [ rescale ] are added to the method image from the module tensorboardX/summary.py'],e4642ed83113bf69b4ac0da6f9b260b5a01a1e3e,,,,,,,
Add Parameter,make_image,make_image,tensorboardX/summary.py,176.0,236.0,['The parameters [ rescale rois ] are added to the method make_image from the module tensorboardX/summary.py'],e4642ed83113bf69b4ac0da6f9b260b5a01a1e3e,,,,,,,
Change/Rename Parameter,histogram,histogram,tensorboardX/summary.py,126.0,126.0,['The parameters [ collections ] of the method histogram from the module tensorboardX/summary.py are changed/renamed to [max_bins]'],e5474a7f0dfff9291a20aaa16465a7ec8bac8d9e,,,,,,,
Add Parameter,add_histogram,add_histogram,tensorboardX/writer.py/SummaryWriter,390.0,390.0,['The parameters [ max_bins ] are added to the method add_histogram from the module tensorboardX/writer.py in class SummaryWriter'],e5474a7f0dfff9291a20aaa16465a7ec8bac8d9e,,,,,,,
Add Parameter,make_pbtxt,make_pbtxt,tensorboard/embedding.py,24.0,24.0,['The parameters [ metadata ] are added to the method make_pbtxt from the module tensorboard/embedding.py'],e8b014cca88e153f3df231bedce85fbe53d967b5,,,,,,,
Remove Parameter,_get_final_image,_get_final_image,tensorboardX/beholder/beholder.py/Beholder,92.0,107.0,['The parameters [ session ] of the method _get_final_image from the module tensorboardX/beholder/beholder.py in class Beholder is/are removed'],e8c4a93b0a7db857f4f64acfc33593392f2afee9,,,,,,,
Remove Parameter,_update_frame,_update_frame,tensorboardX/beholder/beholder.py/Beholder,132.0,147.0,['The parameters [ session ] of the method _update_frame from the module tensorboardX/beholder/beholder.py in class Beholder is/are removed'],e8c4a93b0a7db857f4f64acfc33593392f2afee9,,,,,,,
Add Parameter,make_tsv,make_tsv,tensorboardX/embedding.py,4.0,4.0,['The parameters [ metadata_header ] are added to the method make_tsv from the module tensorboardX/embedding.py'],ed1643f984dd827b1ef4fd186088e292c9ff68c3,,,,,,,
Add Parameter,add_embedding,add_embedding,tensorboardX/writer.py/SummaryWriter,411.0,411.0,['The parameters [ metadata_header ] are added to the method add_embedding from the module tensorboardX/writer.py in class SummaryWriter'],ed1643f984dd827b1ef4fd186088e292c9ff68c3,,,,,,,
Rename Method,makenp,make_np,tensorboardX/x2num.py,6.0,17.0,['The method makenp from the module tensorboardX/x2num.py is renamed to make_np'],efa9fad1be88ab035fde699ae191980c6bf089a2,,,,,,,
