Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Rename Method,random_get_state_equal,random_state_equal,tests/unit/test_randomness.py,17.0,17.0,['The method random_get_state_equal from the module tests/unit/test_randomness.py is renamed to random_state_equal'],0df5ed4aa1fd4a41c959909e9823566b9f3ce970,,,,,,,
Add Parameter,_eval,_eval,elfi/bo/acquisition.py/Acquisition,49.0,49.0,['The parameters [ t ] are added to the method _eval from the module elfi/bo/acquisition.py in class Acquisition'],0fa2551bb9b7394c9e12e879e3a06fbbe84da8db,,,,,,,
Add Parameter,acquire,acquire,elfi/bo/acquisition.py/Acquisition,58.0,58.0,['The parameters [ t ] are added to the method acquire from the module elfi/bo/acquisition.py in class Acquisition'],0fa2551bb9b7394c9e12e879e3a06fbbe84da8db,,,,,,,
Add Parameter,acquire,acquire,elfi/bo/acquisition.py/AcquisitionSchedule,169.0,169.0,['The parameters [ t ] are added to the method acquire from the module elfi/bo/acquisition.py in class AcquisitionSchedule'],0fa2551bb9b7394c9e12e879e3a06fbbe84da8db,,,,,,,
Add Parameter,acquire,acquire,elfi/bo/acquisition.py/UniformAcquisition,239.0,265.0,['The parameters [ t ] are added to the method acquire from the module elfi/bo/acquisition.py in class UniformAcquisition'],0fa2551bb9b7394c9e12e879e3a06fbbe84da8db,,,,,,,
Change/Rename Parameter,_to_array,_to_array,elfi/methods/methods.py/InferenceMethod,329.0,329.0,['The parameters [ batch ] of the method _to_array from the module elfi/methods/methods.py in class InferenceMethod are changed/renamed to [batches]'],15242d6ede8a798483c1035a7e4ec31d5d8905eb,,,,,,,
Rename Method,destroy,delete,elfi/store.py/ArrayPool,104.0,190.0,['The method destroy from the module elfi/store.py in class ArrayPool is renamed to delete'],15242d6ede8a798483c1035a7e4ec31d5d8905eb,,,,,,,
Change/Rename Parameter,__getitem__,__getitem__,elfi/store.py/NpyPersistedArray,218.0,338.0,['The parameters [ item ] of the method __getitem__ from the module elfi/store.py in class NpyPersistedArray are changed/renamed to [sl]'],15242d6ede8a798483c1035a7e4ec31d5d8905eb,,,,,,,
Rename Method,_prepare_header_bytes,_prepare_header_data,elfi/store.py/NpyPersistedArray,301.0,484.0,['The method _prepare_header_bytes from the module elfi/store.py in class NpyPersistedArray is renamed to _prepare_header_data'],15242d6ede8a798483c1035a7e4ec31d5d8905eb,,,,,,,
Extract Method,update,_update_logratio_model,elfi/methods/inference/bolfire.py/BOLFIRE,,, The method _update_logratio_model from the module elfi/methods/inference/bolfire.py in class BOLFIRE is extracted from method update from the module elfi/methods/inference/bolfire.py in class BOLFIRE ,155a127cbc3c3575df0fd6cb86a0bd85e33aeebd,,,,,"(135,140)",448.0,"[154.0, 157.0, 162.0, 163.0, 164.0, 165.0]"
Rename Method,has_completed,has_ready,elfi/client.py/BatchHandler,54.0,54.0,['The method has_completed from the module elfi/client.py in class BatchHandler is renamed to has_ready'],158b0bc791b99833c96d026c96bf39b71c55879c,,,,,,,
Rename Method,new_index,next,elfi/client.py/BatchHandler,63.0,63.0,['The method new_index from the module elfi/client.py in class BatchHandler is renamed to next'],158b0bc791b99833c96d026c96bf39b71c55879c,,,,,,,
Rename Method,pending_indices,pending,elfi/client.py/BatchHandler,67.0,76.0,['The method pending_indices from the module elfi/client.py in class BatchHandler is renamed to pending'],158b0bc791b99833c96d026c96bf39b71c55879c,,,,,,,
