Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Add Parameter,__init__,__init__,models/densenet.py/DenseNet,84.0,82.0,['The parameters [ n_input_channels ] are added to the method __init__ from the module models/densenet.py in class DenseNet'],b2d4a80ad7ed669f33179a1928e85fb1e25012e5,,,
Add Parameter,__init__,__init__,models/resnet.py/ResNet,104.0,104.0,['The parameters [ n_input_channels ] are added to the method __init__ from the module models/resnet.py in class ResNet'],b2d4a80ad7ed669f33179a1928e85fb1e25012e5,,,
Add Parameter,__init__,__init__,models/resnet2p1d.py/ResNet,141.0,141.0,['The parameters [ n_input_channels ] are added to the method __init__ from the module models/resnet2p1d.py in class ResNet'],b2d4a80ad7ed669f33179a1928e85fb1e25012e5,,,
Add Parameter,__init__,__init__,models/resnext.py/ResNeXt,40.0,39.0,['The parameters [ n_input_channels ] are added to the method __init__ from the module models/resnext.py in class ResNeXt'],b2d4a80ad7ed669f33179a1928e85fb1e25012e5,,,
Add Parameter,get_video_results,get_video_results,test.py,11.0,11.0,['The parameters [ output_topk ] are added to the method get_video_results from the module test.py'],b8d2064152cb5636214799670cdf6b1c7f4bf051,,,
Add Parameter,test,test,test.py,24.0,25.0,['The parameters [ output_topk ] are added to the method test from the module test.py'],b8d2064152cb5636214799670cdf6b1c7f4bf051,,,
Change/Rename Parameter,__init__,__init__,models/resnet2p1d.py/Bottleneck,93.0,93.0,['The parameters [ inplanes ] of the method __init__ from the module models/resnet2p1d.py in class Bottleneck are changed/renamed to [in_planes]'],c5e6fc18d00da4a34dfe3fd2ef9f6457e7dafaca,,,
Add Parameter,__init__,__init__,models/resnet.py/ResNet,103.0,103.0,['The parameters [ sample_size sample_duration ] are added to the method __init__ from the module models/resnet.py in class ResNet'],c659faeec0bdf9d67fa503f537d5794e00906a6c,,,
Add Parameter,__init__,__init__,datasets/activitynet.py/ActivityNet,189.0,247.0,['The parameters [ is_untrimmed_setting ] are added to the method __init__ from the module datasets/activitynet.py in class ActivityNet'],c65dc9040a94292f7cb2cdc8f217cef7fbf19e1d,,,
Add Parameter,__init__,__init__,datasets/activitynet.py/ActivityNet,137.0,54.0,['The parameters [ video_path_formatter image_name_formatter ] are added to the method __init__ from the module datasets/activitynet.py in class ActivityNet'],cb10986989647a380e857ca0eabddb970befbf3f,,,
Change/Rename Parameter,__init__,__init__,models/resnet.py/BasicBlock,31.0,33.0,['The parameters [ inplanes ] of the method __init__ from the module models/resnet.py in class BasicBlock are changed/renamed to [in_planes]'],d6aef1280908f227ebae502956d5f53424e89e4b,,,
Change/Rename Parameter,__init__,__init__,models/resnet.py/Bottleneck,64.0,66.0,['The parameters [ inplanes ] of the method __init__ from the module models/resnet.py in class Bottleneck are changed/renamed to [in_planes]'],d6aef1280908f227ebae502956d5f53424e89e4b,,,
Add Parameter,__init__,__init__,models/densenet.py/DenseNet,84.0,84.0,['The parameters [ no_max_pool ] are added to the method __init__ from the module models/densenet.py in class DenseNet'],dc00752d3ad585cb44eefe7cecf86bfc09890e25,,,
Add Parameter,__init__,__init__,models/resnet.py/ResNet,102.0,102.0,['The parameters [ no_max_pool ] are added to the method __init__ from the module models/resnet.py in class ResNet'],dc00752d3ad585cb44eefe7cecf86bfc09890e25,,,
