Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Remove Parameter,calc_dissim,calc_dissim,kmodes/util/dissim.py,41.0,41.0,['The parameters [ idj ] of the method calc_dissim from the module kmodes/util/dissim.py is/are removed'],7e4e8656cd821dfdf525fa3e38179064b8eb924f,,,,,,,
Remove Parameter,get_dissim,get_dissim,kmodes.py/KModes,165.0,165.0,['The parameters [ self ] of the method get_dissim from the module kmodes.py in class KModes is/are removed'],866fd7137038b10c3586c70ae6476fced96945fd,,,,,,,
Remove Parameter,get_dissim_num,get_dissim_num,kmodes.py/KPrototypes,296.0,297.0,['The parameters [ bx ] of the method get_dissim_num from the module kmodes.py in class KPrototypes is/are removed'],866fd7137038b10c3586c70ae6476fced96945fd,,,,,,,
Remove Parameter,get_fuzzy_dissim,get_fuzzy_dissim,kmodes.py/FuzzyFuzzyKModes,524.0,522.0,['The parameters [ self ] of the method get_fuzzy_dissim from the module kmodes.py in class FuzzyFuzzyKModes is/are removed'],866fd7137038b10c3586c70ae6476fced96945fd,,,,,,,
Remove Parameter,test_mode_from_dict,test_mode_from_dict,kmodes/tests/test_kmodes.py,4.0,4.0,['The parameters [ dic ] of the method test_mode_from_dict from the module kmodes/tests/test_kmodes.py is/are removed'],8c9dd71385fbf2b3c27b869643a0462319f70b99,,,,,,,
Rename Method,_euclidean_dissim_num,_euclidean_dissim,kmodes/kmodes.py,15.0,15.0,['The method _euclidean_dissim_num from the module kmodes/kmodes.py is renamed to _euclidean_dissim'],98a944f68bcf2370d0d58b60b5b7cac349ca8182,,,,,,,
Rename Method,_get_mode,_mode_from_dict,kmodes/kmodes.py,80.0,80.0,['The method _get_mode from the module kmodes/kmodes.py is renamed to _mode_from_dict'],98a944f68bcf2370d0d58b60b5b7cac349ca8182,,,,,,,
Rename Method,_k_modes,k_modes,kmodes/kmodes.py,202.0,202.0,['The method _k_modes from the module kmodes/kmodes.py is renamed to k_modes'],a8f1162c14d1111e5e0a0978f70d7169deb9ecec,,,,,,,
Rename Method,_k_prototypes,k_prototypes,kmodes/kprototypes.py,234.0,234.0,['The method _k_prototypes from the module kmodes/kprototypes.py is renamed to k_prototypes'],a8f1162c14d1111e5e0a0978f70d7169deb9ecec,,,,,,,
Rename Method,move_point_cat,_move_point_cat,kmodes/kmodes.py,401.0,343.0,['The method move_point_cat from the module kmodes/kmodes.py is renamed to _move_point_cat'],b65184ea11ecba7f28209e6f85bbed5b60bad267,,,,,,,
Remove Parameter,_perform_clustering,_perform_clustering,kmodes.py/KPrototypes,259.0,236.0,['The parameters [ Xcat ] of the method _perform_clustering from the module kmodes.py in class KPrototypes is/are removed'],c209fc2d369da0051444622134d2c388e8345d6d,,,,,,,
Rename Method,_labels_cost,labels_cost,kmodes/kmodes.py,112.0,112.0,['The method _labels_cost from the module kmodes/kmodes.py is renamed to labels_cost'],cc14dce4187d8283e467eaef93b1b64640456627,,,,,,,
Rename Method,_labels_cost,labels_cost,kmodes/kprototypes.py,53.0,53.0,['The method _labels_cost from the module kmodes/kprototypes.py is renamed to labels_cost'],cc14dce4187d8283e467eaef93b1b64640456627,,,,,,,
Change/Rename Parameter,_add_point_to_cluster,_add_point_to_cluster,kmodes.py/KModes,204.0,204.0,['The parameters [ iPoint ] of the method _add_point_to_cluster from the module kmodes.py in class KModes are changed/renamed to [ipoint]'],cd02e31905e54ef2cf97a4e49448bc5c411f940f,,,,,,,
Change/Rename Parameter,_remove_point_from_cluster,_remove_point_from_cluster,kmodes.py/KModes,211.0,211.0,['The parameters [ iPoint ] of the method _remove_point_from_cluster from the module kmodes.py in class KModes are changed/renamed to [ipoint]'],cd02e31905e54ef2cf97a4e49448bc5c411f940f,,,,,,,
Change/Rename Parameter,calculate_clustering_cost,calculate_clustering_cost,kmodes.py/KModes,232.0,232.0,['The parameters [ X ] of the method calculate_clustering_cost from the module kmodes.py in class KModes are changed/renamed to [x]'],cd02e31905e54ef2cf97a4e49448bc5c411f940f,,,,,,,
Change/Rename Parameter,get_dissim,get_dissim,kmodes.py/KModes,218.0,218.0,['The parameters [ A ] of the method get_dissim from the module kmodes.py in class KModes are changed/renamed to [a]'],cd02e31905e54ef2cf97a4e49448bc5c411f940f,,,,,,,
Change/Rename Parameter,_add_point_to_cluster,_add_point_to_cluster,kmodes.py/KPrototypes,400.0,400.0,['The parameters [ pointNum pointCat iPoint ] of the method _add_point_to_cluster from the module kmodes.py in class KPrototypes are changed/renamed to [point_num point_cat ipoint]'],cd02e31905e54ef2cf97a4e49448bc5c411f940f,,,,,,,
Change/Rename Parameter,_remove_point_from_cluster,_remove_point_from_cluster,kmodes.py/KPrototypes,410.0,410.0,['The parameters [ pointNum pointCat iPoint ] of the method _remove_point_from_cluster from the module kmodes.py in class KPrototypes are changed/renamed to [point_num point_cat ipoint]'],cd02e31905e54ef2cf97a4e49448bc5c411f940f,,,,,,,
Change/Rename Parameter,calculate_clustering_cost,calculate_clustering_cost,kmodes.py/KPrototypes,425.0,425.0,['The parameters [ Xnum Xcat ] of the method calculate_clustering_cost from the module kmodes.py in class KPrototypes are changed/renamed to [xnum xcat]'],cd02e31905e54ef2cf97a4e49448bc5c411f940f,,,,,,,
Change/Rename Parameter,get_dissim_num,get_dissim_num,kmodes.py/KPrototypes,420.0,420.0,['The parameters [ Anum ] of the method get_dissim_num from the module kmodes.py in class KPrototypes are changed/renamed to [anum]'],cd02e31905e54ef2cf97a4e49448bc5c411f940f,,,,,,,
Change/Rename Parameter,update_membership,update_membership,kmodes.py/FuzzyKModes,520.0,520.0,['The parameters [ X ] of the method update_membership from the module kmodes.py in class FuzzyKModes are changed/renamed to [x]'],cd02e31905e54ef2cf97a4e49448bc5c411f940f,,,,,,,
Change/Rename Parameter,_perform_clustering,_perform_clustering,kmodes.py/FuzzyCentroidsKModes,572.0,571.0,['The parameters [ X maxIters costInter ] of the method _perform_clustering from the module kmodes.py in class FuzzyCentroidsKModes are changed/renamed to [x max_iters cost_inter]'],cd02e31905e54ef2cf97a4e49448bc5c411f940f,,,,,,,
Change/Rename Parameter,calculate_clustering_cost,calculate_clustering_cost,kmodes.py/FuzzyCentroidsKModes,678.0,677.0,['The parameters [ X ] of the method calculate_clustering_cost from the module kmodes.py in class FuzzyCentroidsKModes are changed/renamed to [x]'],cd02e31905e54ef2cf97a4e49448bc5c411f940f,,,,,,,
Change/Rename Parameter,update_centroids,update_centroids,kmodes.py/FuzzyCentroidsKModes,652.0,651.0,['The parameters [ X ] of the method update_centroids from the module kmodes.py in class FuzzyCentroidsKModes are changed/renamed to [x]'],cd02e31905e54ef2cf97a4e49448bc5c411f940f,,,,,,,
Change/Rename Parameter,update_membership,update_membership,kmodes.py/FuzzyCentroidsKModes,635.0,634.0,['The parameters [ X ] of the method update_membership from the module kmodes.py in class FuzzyCentroidsKModes are changed/renamed to [x]'],cd02e31905e54ef2cf97a4e49448bc5c411f940f,,,,,,,
Add Parameter,__init__,__init__,kmodes/kmodes.py/KModes,335.0,345.0,['The parameters [ random_state n_jobs ] are added to the method __init__ from the module kmodes/kmodes.py in class KModes'],cd588e3e518a518d46a8cb6dcc3d2d50d27a335d,,,,,,,
Add Parameter,_k_modes_iter,_k_modes_iter,kmodes/kmodes.py,131.0,133.0,['The parameters [ random_state ] are added to the method _k_modes_iter from the module kmodes/kmodes.py'],cd588e3e518a518d46a8cb6dcc3d2d50d27a335d,,,,,,,
Add Parameter,init_huang,init_huang,kmodes/kmodes.py,18.0,20.0,['The parameters [ random_state ] are added to the method init_huang from the module kmodes/kmodes.py'],cd588e3e518a518d46a8cb6dcc3d2d50d27a335d,,,,,,,
Add Parameter,__init__,__init__,kmodes/kprototypes.py/KPrototypes,388.0,404.0,['The parameters [ random_state n_jobs ] are added to the method __init__ from the module kmodes/kprototypes.py in class KPrototypes'],cd588e3e518a518d46a8cb6dcc3d2d50d27a335d,,,,,,,
Add Parameter,_k_prototypes_iter,_k_prototypes_iter,kmodes/kprototypes.py,73.0,75.0,['The parameters [ random_state ] are added to the method _k_prototypes_iter from the module kmodes/kprototypes.py'],cd588e3e518a518d46a8cb6dcc3d2d50d27a335d,,,,,,,
Add Parameter,__init__,__init__,kmodes/kmodes.py/KModes,334.0,340.0,['The parameters [ kmodes_cat_dissim ] are added to the method __init__ from the module kmodes/kmodes.py in class KModes'],cda7aa622d3c7b465128493e0bd08d598bfb0466,,,,,,,
Add Parameter,_labels_cost,_labels_cost,kmodes/kmodes.py,116.0,118.0,['The parameters [ membship ] are added to the method _labels_cost from the module kmodes/kmodes.py'],cda7aa622d3c7b465128493e0bd08d598bfb0466,,,,,,,
