Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Old Location,New Location,Old Method Line,New Method Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Rename Method,check_initialized,check_detector_initialized,pycorrector/detector.py/Detector,27.0,43.0,['The method check_initialized from the module pycorrector/detector.py in class Detector is renamed to check_detector_initialized'],64e1e17261d23a30e57f84532f4bf7f40df359d8,,,,,,,
Rename Method,initialize,initialize_detector,pycorrector/detector.py/Detector,31.0,28.0,['The method initialize from the module pycorrector/detector.py in class Detector is renamed to initialize_detector'],64e1e17261d23a30e57f84532f4bf7f40df359d8,,,,,,,
Rename Method,initialize_corrector,_initialize_corrector,pycorrector/corrector.py/Corrector,104.0,104.0,['The method initialize_corrector from the module pycorrector/corrector.py in class Corrector is renamed to _initialize_corrector'],68b5105ae8c0225f426ddfa8928b9bfe9eb76b76,,,,,,,
Rename Method,initialize_detector,_initialize_detector,pycorrector/detector.py/Detector,67.0,67.0,['The method initialize_detector from the module pycorrector/detector.py in class Detector is renamed to _initialize_detector'],68b5105ae8c0225f426ddfa8928b9bfe9eb76b76,,,,,,,
Rename Method,dump_pkl,save_pkl,pycorrector/utils/io_utils.py,19.0,20.0,['The method dump_pkl from the module pycorrector/utils/io_utils.py is renamed to save_pkl'],68b5105ae8c0225f426ddfa8928b9bfe9eb76b76,,,,,,,
Remove Parameter,tokenize,tokenize,pycorrector/utils/tokenizer.py/Tokenizer,69.0,69.0,['The parameters [ HMM n ] of the method tokenize from the module pycorrector/utils/tokenizer.py in class Tokenizer is/are removed'],68b5105ae8c0225f426ddfa8928b9bfe9eb76b76,,,,,,,
Rename Method,clp_data_test,test_clp_data,tests/eval_test.py,27.0,28.0,['The method clp_data_test from the module tests/eval_test.py is renamed to test_clp_data'],68b5105ae8c0225f426ddfa8928b9bfe9eb76b76,,,,,,,
Rename Method,eval_bcmi_data_test,test_eval_bcmi_data,tests/eval_test.py,22.0,22.0,['The method eval_bcmi_data_test from the module tests/eval_test.py is renamed to test_eval_bcmi_data'],68b5105ae8c0225f426ddfa8928b9bfe9eb76b76,,,,,,,
Rename Method,get_bcmi_cor_test,test_get_bcmi_data,tests/eval_test.py,17.0,17.0,['The method get_bcmi_cor_test from the module tests/eval_test.py is renamed to test_get_bcmi_data'],68b5105ae8c0225f426ddfa8928b9bfe9eb76b76,,,,,,,
Rename Method,sighan_data_test,test_sighan_data,tests/eval_test.py,33.0,34.0,['The method sighan_data_test from the module tests/eval_test.py is renamed to test_sighan_data'],68b5105ae8c0225f426ddfa8928b9bfe9eb76b76,,,,,,,
