Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Rename Method,vs_name_for_predictor,_main_tower_vs_name,tensorpack/train/distributed.py/DistributedTrainerReplicated,97.0,97.0,['The method vs_name_for_predictor from the module tensorpack/train/distributed.py in class DistributedTrainerReplicated is renamed to _main_tower_vs_name'],9a711e72b0df2fe9c62279ed8b6c062eb81d2652,,,,,,,
Rename Class,InferencerToHookDataParallel,_InferencerToHookDataParallel,tensorpack/callbacks/inference_runner.py,,, class InferencerToHookDataParallel was renamed to class _InferencerToHookDataParallel ,dbc5006860a7ad37a1c084be8d256a5b8ba6aac4,,,,,,,
Remove Parameter,__init__,__init__,tensorpack/train/trainers.py/SyncMultiGPUTrainerReplicated,164.0,164.0,['The parameters [ use_nccl ] of the method __init__ from the module tensorpack/train/trainers.py in class SyncMultiGPUTrainerReplicated is/are removed'],dbc5006860a7ad37a1c084be8d256a5b8ba6aac4,,,,,,,
Remove Parameter,__init__,__init__,tensorpack/callbacks/validation_callback.py/ValidationCallback,24.0,24.0,['The parameters [ period ] of the method __init__ from the module tensorpack/callbacks/validation_callback.py in class ValidationCallback is/are removed'],32feff4e138a602c3fee5c5998bf5b1c231a8323,,,,,,,
Remove Parameter,__init__,__init__,tensorpack/callbacks/validation_callback.py/ValidationStatPrinter,75.0,69.0,['The parameters [ period ] of the method __init__ from the module tensorpack/callbacks/validation_callback.py in class ValidationStatPrinter is/are removed'],32feff4e138a602c3fee5c5998bf5b1c231a8323,,,,,,,
Rename Method,_trigger_periodic,_trigger_epoch,tensorpack/callbacks/validation_callback.py/ValidationStatPrinter,92.0,85.0,['The method _trigger_periodic from the module tensorpack/callbacks/validation_callback.py in class ValidationStatPrinter is renamed to _trigger_epoch'],32feff4e138a602c3fee5c5998bf5b1c231a8323,,,,,,,
Remove Parameter,__init__,__init__,tensorpack/callbacks/validation_callback.py/ClassificationError,116.0,109.0,['The parameters [ period ] of the method __init__ from the module tensorpack/callbacks/validation_callback.py in class ClassificationError is/are removed'],32feff4e138a602c3fee5c5998bf5b1c231a8323,,,,,,,
Rename Method,_trigger_periodic,_trigger_epoch,tensorpack/callbacks/validation_callback.py/ClassificationError,132.0,124.0,['The method _trigger_periodic from the module tensorpack/callbacks/validation_callback.py in class ClassificationError is renamed to _trigger_epoch'],32feff4e138a602c3fee5c5998bf5b1c231a8323,,,,,,,
Add Parameter,__init__,__init__,tensorpack/contrib/keras.py/KerasModel,185.0,171.0,['The parameters [ inputs_desc targets_desc ] are added to the method __init__ from the module tensorpack/contrib/keras.py in class KerasModel'],ac02c62ffa47f670ce97d68c83bc01abf2542319,,,,,,,
Add Parameter,setup_keras_trainer,setup_keras_trainer,tensorpack/contrib/keras.py,99.0,90.0,['The parameters [ inputs_desc targets_desc ] are added to the method setup_keras_trainer from the module tensorpack/contrib/keras.py'],ac02c62ffa47f670ce97d68c83bc01abf2542319,,,,,,,
Remove Parameter,export,export,tensorpack/tfutils/export.py/ModelExport,70.0,65.0,['The parameters [ version ] of the method export from the module tensorpack/tfutils/export.py in class ModelExport is/are removed'],a988fc18ae6590bfb67c04a222637f2451dd57dd,,,,,,,
Add Parameter,__init__,__init__,tensorpack/callbacks/param.py/ScheduledHyperParamSetter,216.0,220.0,['The parameters [ step_based ] are added to the method __init__ from the module tensorpack/callbacks/param.py in class ScheduledHyperParamSetter'],2ce7ec1c29909ff6f4a3ce6a4e8bbebb5b66ba25,,,,,,,
Remove Parameter,_check_tf_version,_check_tf_version,tensorpack/graph_builder/training.py/DataParallelBuilder,73.0,73.0,['The parameters [ self ] of the method _check_tf_version from the module tensorpack/graph_builder/training.py in class DataParallelBuilder is/are removed'],ce709fa3a6380a5d4c9c03deb88047710e2a5600,,,,,,,
Add Parameter,freeze_variables,freeze_variables,tensorpack/tfutils/varreplace.py,41.0,41.0,['The parameters [ stop_gradient skip_collection ] are added to the method freeze_variables from the module tensorpack/tfutils/varreplace.py'],b5be94813fd614aac794df8519bb845fabbd78e7,,,,,,,
Rename Method,get_placeholders,build_placeholders,tensorpack/models/model_desc.py/ModelDesc,50.0,53.0,['The method get_placeholders from the module tensorpack/models/model_desc.py in class ModelDesc is renamed to build_placeholders'],3080e91e8777ff4de08fef914c21ce9bab719e13,,,,,,,
Remove Parameter,get_value,get_value,tensorpack/callbacks/param.py/ObjAttrParam,106.0,106.0,['The parameters [ v ] of the method get_value from the module tensorpack/callbacks/param.py in class ObjAttrParam is/are removed'],e79d74f85ffca59d37b6c0956420d02e1704f67e,,,,,,,
Extract Method,_get_value_to_set,_current_point,tensorpack/callbacks/param.py/ScheduledHyperParamSetter,,, The method _current_point from the module tensorpack/callbacks/param.py in class ScheduledHyperParamSetter is extracted from method _get_value_to_set from the module tensorpack/callbacks/param.py in class ScheduledHyperParamSetter ,e79d74f85ffca59d37b6c0956420d02e1704f67e,"(264,263)",266.0,[265.0],,,,
Extract Method,_get_value_to_set,_get_value_to_set_at_point,tensorpack/callbacks/param.py/ScheduledHyperParamSetter,,, The method _get_value_to_set_at_point from the module tensorpack/callbacks/param.py in class ScheduledHyperParamSetter is extracted from method _get_value_to_set from the module tensorpack/callbacks/param.py in class ScheduledHyperParamSetter ,e79d74f85ffca59d37b6c0956420d02e1704f67e,"(264,263)",281.0,"[266.0, 267.0, 268.0, 269.0, 270.0, 271.0, 272.0, 273.0, 275.0, 276.0, 279.0, 280.0]",,,,
